                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 0.6308,                0.70027,                 1.0403,                0.98027,                0.98244,                  0.995,                0.87201,                 0.6512,                 0.6091,                 1.2697,               0.007426,               0.007426,               0.007426
                     80,                0.65428,                0.76012,                 1.0522,                0.87464,                0.98542,                0.98389,                0.81539,                0.75508,                0.72369,                 1.3112,               0.007393,               0.007393,               0.007393
                     81,                0.55237,                0.63241,                 0.9931,                0.92557,                0.75702,                0.84907,                0.70529,                0.93903,                 1.0485,                 1.5175,                0.00736,                0.00736,                0.00736
                     82,                0.51668,                0.60576,                 1.0076,                0.96782,                0.97809,                  0.995,                0.82069,                0.75554,                0.62342,                 1.3426,               0.007327,               0.007327,               0.007327
                     83,                0.53703,                0.64002,                 0.9848,                0.92997,                 0.9781,                  0.995,                0.80129,                0.70579,                0.56066,                 1.2441,               0.007294,               0.007294,               0.007294
                     84,                0.57033,                0.61108,                0.97268,                 0.9431,                0.92127,                0.98389,                0.79823,                0.82838,                0.69709,                 1.4189,               0.007261,               0.007261,               0.007261
                     85,                0.58413,                0.65659,                 1.0218,                0.87476,                0.98777,                  0.995,                 0.8574,                0.56723,                0.62368,                 1.1333,               0.007228,               0.007228,               0.007228
                     86,                0.58365,                0.61974,                 1.0301,                0.96671,                 0.8709,                  0.995,                0.84615,                0.60028,                0.67135,                 1.1305,               0.007195,               0.007195,               0.007195
                     87,                0.57117,                0.62634,                 1.0215,                0.97318,                      1,                  0.995,                0.88701,                 0.5347,                0.52502,                 1.0931,               0.007162,               0.007162,               0.007162
                     88,                0.58293,                0.59676,                 1.0105,                0.96948,                      1,                  0.995,                0.88937,                0.56074,                0.54281,                 1.1199,               0.007129,               0.007129,               0.007129
